,name,link,image,price
55, Polo Ralph Lauren Men's Stretch Oxford Shirt,https://www.macys.com/shop/product/polo-ralph-lauren-mens-stretch-oxford-shirt?ID=5182034&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D14,https://www.macys.com/shop/product/polo-ralph-lauren-mens-stretch-oxford-shirt?ID=5182034&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D14,$89.50
56, Billabong Men's All Day Short-Sleeve Oxford Shirt,https://www.macys.com/shop/product/billabong-mens-all-day-short-sleeve-oxford-shirt?ID=6089047&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D15,https://www.macys.com/shop/product/billabong-mens-all-day-short-sleeve-oxford-shirt?ID=6089047&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D15,$49.95
57, Levi's® Men's Slim-Fit Striped Short-Sleeve Oxford Shirt,https://www.macys.com/shop/product/levis-mens-slim-fit-striped-short-sleeve-oxford-shirt?ID=5997064&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D16,https://www.macys.com/shop/product/levis-mens-slim-fit-striped-short-sleeve-oxford-shirt?ID=5997064&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D16,$44.50
58, BOSS Men's Sharp-Fit Oxford Cotton Dress Shirt,https://www.macys.com/shop/product/boss-mens-sharp-fit-oxford-cotton-dress-shirt?ID=5520395&CategoryID=20635#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D17,https://www.macys.com/shop/product/boss-mens-sharp-fit-oxford-cotton-dress-shirt?ID=5520395&CategoryID=20635#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D17,$128.00
59, Polo Ralph Lauren Men's Classic-Fit Oxford Shirt,https://www.macys.com/shop/product/polo-ralph-lauren-mens-classic-fit-oxford-shirt?ID=4852573&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D18,https://www.macys.com/shop/product/polo-ralph-lauren-mens-classic-fit-oxford-shirt?ID=4852573&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D18,$89.50
60, Barbour Men's Oscar Red Plaid Oxford Shirt,https://www.macys.com/shop/product/barbour-mens-oscar-red-plaid-oxford-shirt?ID=5774792&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D20,https://www.macys.com/shop/product/barbour-mens-oscar-red-plaid-oxford-shirt?ID=5774792&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D20,$99.00
61, Barbour Men's Oscar White Plaid Oxford Shirt,https://www.macys.com/shop/product/barbour-mens-oscar-white-plaid-oxford-shirt?ID=5774795&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D21,https://www.macys.com/shop/product/barbour-mens-oscar-white-plaid-oxford-shirt?ID=5774795&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D21,$99.00
62, BOSS Men's Sharp-Fit Cotton Oxford Dress Shirt,https://www.macys.com/shop/product/boss-mens-sharp-fit-cotton-oxford-dress-shirt?ID=5520362&CategoryID=20635#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D22,https://www.macys.com/shop/product/boss-mens-sharp-fit-cotton-oxford-dress-shirt?ID=5520362&CategoryID=20635#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D22,$128.00
63, Polo Ralph Lauren Men's Slim-Fit Oxford Shirt,https://www.macys.com/shop/product/polo-ralph-lauren-mens-slim-fit-oxford-shirt?ID=4855226&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D23,https://www.macys.com/shop/product/polo-ralph-lauren-mens-slim-fit-oxford-shirt?ID=4855226&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D23,Sale $79.99
64, Polo Ralph Lauren Men's Striped Oxford Shirt,https://www.macys.com/shop/product/polo-ralph-lauren-mens-striped-oxford-shirt?ID=2990320&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D24,https://www.macys.com/shop/product/polo-ralph-lauren-mens-striped-oxford-shirt?ID=2990320&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D24,$85.00
